
R version 4.3.2 (2023-10-31) -- "Eye Holes"
Copyright (C) 2023 The R Foundation for Statistical Computing
Platform: x86_64-pc-linux-gnu (64-bit)

R is free software and comes with ABSOLUTELY NO WARRANTY.
You are welcome to redistribute it under certain conditions.
Type 'license()' or 'licence()' for distribution details.

R is a collaborative project with many contributors.
Type 'contributors()' for more information and
'citation()' on how to cite R or R packages in publications.

Type 'demo()' for some demos, 'help()' for on-line help, or
'help.start()' for an HTML browser interface to help.
Type 'q()' to quit R.

> clustermq:::worker("tcp://all-st-rstudio-1:9359")
2024-01-24 18:36:44.490173 | Master: tcp://all-st-rstudio-1:9359
2024-01-24 18:36:44.492985 | connecting to: tcp://all-st-rstudio-1:9359
2024-01-24 18:36:44.635011 | > call 1 (0.109s wait)
2024-01-24 18:36:46.072560 | > call 2 (0.049s wait)
2024-01-24 18:36:46.166663 | > call 3 (0.003s wait)
2024-01-24 18:36:46.311769 | > call 4 (0.053s wait)
2024-01-24 18:36:46.405447 | > call 5 (0.003s wait)
2024-01-24 18:36:46.547540 | > call 6 (0.049s wait)
2024-01-24 18:36:46.642328 | > call 7 (0.003s wait)
2024-01-24 18:36:46.784803 | > call 8 (0.052s wait)
2024-01-24 18:36:46.878767 | > call 9 (0.003s wait)
2024-01-24 18:36:47.017508 | > call 10 (0.049s wait)
2024-01-24 18:36:47.109755 | > call 11 (0.003s wait)
2024-01-24 18:36:47.246368 | > call 12 (0.048s wait)
2024-01-24 18:36:47.339572 | > call 13 (0.003s wait)
2024-01-24 18:36:47.432529 | > call 14 (0.004s wait)
2024-01-24 18:36:47.570953 | > call 15 (0.049s wait)
2024-01-24 18:36:47.664617 | > call 16 (0.003s wait)
2024-01-24 18:36:47.802054 | > call 17 (0.047s wait)
2024-01-24 18:36:47.894455 | > call 18 (0.003s wait)
2024-01-24 18:36:48.030267 | > call 19 (0.047s wait)
2024-01-24 18:36:48.124806 | > call 20 (0.003s wait)
2024-01-24 18:36:48.265672 | > call 21 (0.048s wait)
2024-01-24 18:36:48.360844 | > call 22 (0.003s wait)
2024-01-24 18:36:48.499880 | > call 23 (0.049s wait)
2024-01-24 18:36:48.593423 | > call 24 (0.003s wait)
2024-01-24 18:36:48.686553 | > call 25 (0.004s wait)
2024-01-24 18:36:48.826227 | > call 26 (0.050s wait)
2024-01-24 18:36:48.918685 | > call 27 (0.003s wait)
2024-01-24 18:36:49.054867 | > call 28 (0.048s wait)
2024-01-24 18:36:49.148309 | > call 29 (0.004s wait)
2024-01-24 18:36:49.286924 | > call 30 (0.049s wait)
2024-01-24 18:36:49.380326 | > call 31 (0.003s wait)
2024-01-24 18:36:49.516122 | > call 32 (0.046s wait)
2024-01-24 18:36:49.608393 | > call 33 (0.003s wait)
2024-01-24 18:36:49.743542 | > call 34 (0.046s wait)
2024-01-24 18:36:49.838477 | > call 35 (0.003s wait)
2024-01-24 18:36:49.933131 | > call 36 (0.004s wait)
2024-01-24 18:36:50.071094 | > call 37 (0.047s wait)
2024-01-24 18:36:50.166915 | > call 38 (0.004s wait)
2024-01-24 18:36:50.307743 | > call 39 (0.049s wait)
2024-01-24 18:36:50.400574 | > call 40 (0.003s wait)
2024-01-24 18:36:50.536246 | > call 41 (0.047s wait)
2024-01-24 18:36:50.629939 | > call 42 (0.004s wait)
2024-01-24 18:36:50.768273 | > call 43 (0.049s wait)
2024-01-24 18:36:50.861185 | > call 44 (0.003s wait)
2024-01-24 18:36:50.996395 | > call 45 (0.047s wait)
2024-01-24 18:36:51.091281 | > call 46 (0.004s wait)
2024-01-24 18:36:51.183811 | > call 47 (0.003s wait)
2024-01-24 18:36:51.320612 | > call 48 (0.047s wait)
2024-01-24 18:36:51.413769 | > call 49 (0.003s wait)
2024-01-24 18:36:51.548864 | > call 50 (0.046s wait)
2024-01-24 18:36:51.641839 | > call 51 (0.003s wait)
2024-01-24 18:36:51.778012 | > call 52 (0.048s wait)
2024-01-24 18:36:51.872675 | > call 53 (0.003s wait)
2024-01-24 18:36:52.010280 | > call 54 (0.047s wait)
2024-01-24 18:36:52.104353 | > call 55 (0.003s wait)
2024-01-24 18:36:52.242492 | > call 56 (0.047s wait)
2024-01-24 18:36:52.338274 | > call 57 (0.004s wait)
2024-01-24 18:36:52.432869 | > call 58 (0.004s wait)
2024-01-24 18:36:52.569065 | > call 59 (0.045s wait)
2024-01-24 18:36:52.662694 | > call 60 (0.003s wait)
2024-01-24 18:36:52.799374 | > call 61 (0.047s wait)
2024-01-24 18:36:52.892472 | > call 62 (0.003s wait)
2024-01-24 18:36:53.026717 | > call 63 (0.046s wait)
2024-01-24 18:36:53.119470 | > call 64 (0.003s wait)
2024-01-24 18:36:53.258047 | > call 65 (0.050s wait)
2024-01-24 18:36:53.349772 | > call 66 (0.003s wait)
2024-01-24 18:36:53.441431 | > call 67 (0.004s wait)
2024-01-24 18:36:53.581502 | > call 68 (0.051s wait)
2024-01-24 18:36:53.677906 | > call 69 (0.004s wait)
2024-01-24 18:36:53.817327 | > call 70 (0.050s wait)
2024-01-24 18:36:53.915825 | > call 71 (0.003s wait)
2024-01-24 18:36:54.057702 | > call 72 (0.050s wait)
2024-01-24 18:36:54.152737 | > call 73 (0.003s wait)
2024-01-24 18:36:54.289047 | > call 74 (0.047s wait)
2024-01-24 18:36:54.384014 | > call 75 (0.004s wait)
2024-01-24 18:36:54.522483 | > call 76 (0.047s wait)
2024-01-24 18:36:54.614830 | > call 77 (0.003s wait)
2024-01-24 18:36:54.750055 | > call 78 (0.046s wait)
